k_points energy(Ry)
9 -171.19222798
10 -171.19392477
11 -171.19265674
12 -171.19302152
13 -171.19333236
14 -171.19294109
15 -171.19305371
16 -171.19314574
17 -171.19293476
18 -171.19305661
19 -171.19310581
20 -171.19308342
21 -171.19306539
22 -171.19306786
23 -171.19303004
