k_points energy(Ry)
3 -171.18608016
4 -171.19219019
5 -171.19364490
6 -171.19259004
7 -171.19308489
8 -171.19311833
9 -171.19310795
10 -171.19309599
11 -171.19306946
12 -171.19306008
13 -171.19303778
14 -171.19301620
15 -171.19307267
16 -171.19305312
17 -171.19304218
18 -171.19305981
 -171.19304810
 -171.19303760
 -171.19304501
 -171.19306200
 -171.19306301
 -171.19304248
 -171.19304382
