1.1772569132 0.0003978783 10.5411679827
-1.1772569132 0.0003978783 10.5411679827
0.0 0.0 10.5404870111
1.3557704325 2.3531944129 6.5882258748
-1.3557704325 2.3531944129 6.5882258748
2.7108568 0.0055134511 6.5918481643
-0.0 0.0029400013 6.5841591894
2.7108568 3.1352048502 4.4086624384
-0.0 3.136761612 4.4118131353
4.0662810938 0.7886615552 4.4086376024
1.3554325062 0.7886615552 4.4086376024
1.3554240008 3.9202806665 2.2299017011
-1.3554240008 3.9202806665 2.2299017011
2.7108568 1.5731162721 2.2290523577
-0.0 1.5730496102 2.2302627262
1.3554284 2.3476708 0.0496074
-1.3554284 2.3476708 0.0496074
2.7108568 0.0 0.0496074
0.0 0.0 0.0496074
