dist E_tot
1.0 -2773.3671165128
1.5 -2773.3105593685
2.0 -2773.3757510078
2.5 -2773.3901381769
3.0 -2773.3824310338
3.5 -2773.3765939931
4.0 -2773.3737914449
4.5 -2773.3724254084
5.0 -2773.3717733295
5.5 -2773.3714271016
