0.9338412206 1.3115741818 9.4672905099
-0.0054954838 2.5305148421 9.4534934234
0.0 1.5651139 9.6228731665
1.3527184648 2.3653244969 6.5855891123
-1.3617860089 2.3631334802 6.5919148144
2.7059953589 0.0168340546 6.5855900512
-0.0075712225 0.0159879205 6.5948184329
2.7066083375 3.1452495176 4.4165332954
-0.0058375654 3.1440848451 4.4084660947
4.0607221515 0.7967869744 4.4052117167
1.3500032968 0.7964032219 4.4080072226
1.3523541503 3.9210430503 2.2317845944
-1.3600748678 3.9216346959 2.2322827508
2.7069960375 1.5753401691 2.2312084234
-0.0035510961 1.5748649773 2.2298441346
1.3554284 2.3476708 0.0496074
-1.3554284 2.3476708 0.0496074
2.7108568 0.0 0.0496074
0.0 0.0 0.0496074
