2.2812681535 1.0777031732 9.4223662156
0.8441448931 1.6175698514 9.5027708261
1.3554284 0.7825569 9.5546346179
1.3742541684 2.3513532123 6.5789506558
-1.3375812203 2.3483382921 6.5858676809
2.7293680117 -0.0009344566 6.5838755638
0.0209706621 0.0016117123 6.5971376277
2.7247730437 3.1318982587 4.4082222725
0.0126186904 3.1291737007 4.4050116795
4.0801088173 0.7803481087 4.4149938115
1.3679915113 0.7819793698 4.4033981803
1.3624102475 3.912304518 2.23172049
-1.3490758012 3.9118079587 2.2283963852
2.7194052927 1.5635505331 2.229184614
0.0064535931 1.5633103058 2.2294693461
1.3554284 2.3476708 0.0496074
-1.3554284 2.3476708 0.0496074
2.7108568 0.0 0.0496074
0.0 0.0 0.0496074
