dist E_tot
3.0 -5554.3196529942
3.5 -5554.4281242006
4.0 -5554.4598495648
4.5 -5554.3009846468
5.0 -5554.3484761665
5.5 -5554.3811748151
6.0 -5554.4006396376
6.5 -5554.4106546105
7.0 -5554.4159758135
7.5 -5554.4180358330
8.0 -5554.4185832796
