-0.3528908834 1.0050910434 9.0951876184
1.1231725869 0.5484534354 8.9425352948
0.2019182428 0.1960075666 9.0073202297
1.3730679619 2.3506733937 6.5760446998
-1.3345078411 2.3472784995 6.5758067995
2.7353107045 -0.0051103953 6.5773804873
0.0199205317 -0.0106191912 6.6416482651
2.7217483388 3.1408276943 4.4137259903
0.010241821 3.1321157595 4.3977231478
4.0826583897 0.784461794 4.4132707973
1.3668895177 0.7852139827 4.4127638609
1.3611816722 3.9157275811 2.2290359764
-1.3523585814 3.9158762273 2.228057226
2.715943687 1.5674487853 2.2190082525
0.0051665166 1.5652969601 2.2279168074
1.3554284 2.3476708 0.0496074
-1.3554284 2.3476708 0.0496074
2.7108568 0.0 0.0496074
0.0 0.0 0.0496074
