0.9831214292 -0.0148583918 9.0809019953
-0.2372833009 0.954192059 9.0801231786
0.0 0.0 9.0147419078
1.3254509692 2.3146220611 6.5772772801
-1.3777851049 2.3159969586 6.5747462121
2.6840977088 -0.0360833198 6.5785860476
-0.0347433901 -0.0448582675 6.6387962143
2.6879055602 3.1060779544 4.4101134999
-0.0217330315 3.1027227604 4.4023420602
4.0474907051 0.7548144637 4.4114632121
1.3306410876 0.7533401457 4.4159496894
1.3416728947 3.8957555596 2.2309140353
-1.3706629564 3.8958504574 2.231902526
2.6961123567 1.5471363668 2.2203896501
-0.0140995175 1.5461043383 2.2316183602
1.3554284 2.3476708 0.0496074
-1.3554284 2.3476708 0.0496074
2.7108568 0.0 0.0496074
0.0 0.0 0.0496074
